-3.7051,-4.5637
-3.7051,-4.1637
-3.7051,-3.7637
-3.7051,-3.3637
-4.1051,-2.9637
-3.7051,-2.5637
-3.7051,-2.1637
-3.7051,-1.7637
-3.7051,-1.3637
-3.7051,-0.9637
-3.7051,-0.5637
-3.7051,-0.1637
-3.3051,0.2363
-2.9051,0.2363
-2.5051,0.2363
-2.1051,0.2363
-1.7051,0.2363
-1.3051,0.6363
-1.3051,1.0363
-0.9051,1.4363
-0.5051,1.8363
-0.1051,1.8363
0.2949,1.8363
0.6949,1.8363
1.0949,1.8363
1.4949,2.2363
1.0949,2.6363
0.6949,2.6363
0.2949,2.6363
-0.1051,2.6363
-0.5051,2.6363
-0.9051,2.6363
-1.3051,2.6363
-1.7051,3.0363
-2.1051,2.6363
-2.5051,2.2363
-2.9051,1.8363
-3.3051,1.8363
